title,Drama,Comedy,Thriller,Action,Romance,Adventure,Crime,Science Fiction,Horror,Family,Fantasy,Mystery,Animation,History,Music,War,Documentary,Western,Foreign,TV Movie
Home for the Holidays,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kung Fu Hustle,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The Country Bears,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Kite Runner,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21 Grams,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paparazzi,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Guy Thing,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loser,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Capitalism: A Love Story,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Greatest Story Ever Told,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Secret in Their Eyes,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Disaster Movie,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armored,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Man Who Knew Too Little,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
What's Your Number?,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lockout,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Envy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crank: High Voltage,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullets Over Broadway,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Night with the King,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Quiet American,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Weather Man,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Undisputed,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghost Town,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12 Rounds,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let Me In,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3 Ninjas Kick Back,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Be Kind Rewind,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrs Henderson Presents,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triple 9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deconstructing Harry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three to Tango,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We're No Angels,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Everyone Says I Love You,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Death Sentence,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Everybody's Fine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Superbabies: Baby Geniuses 2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Man,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Code Name: The Cleaner,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Connie and Carla,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Charity,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Inherent Vice,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Doogal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Battle of the Year,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
An American Carol,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Machete Kills,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Willard,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Strange Wilderness,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Topsy-Turvy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Little Boy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A Dangerous Method,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Scanner Darkly,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Chasing Mavericks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alone in the Dark,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Bandslam,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Birth,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Most Violent Year,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Passchendaele,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Flash of Genius,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm Not There.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Cold Light of Day,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Brothers Bloom,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synecdoche, New York",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Princess Mononoke,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Bon voyage,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Can't Stop the Music,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Proposition,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
My All American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marci X,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equilibrium,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Children of Huang Shi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Yards,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Oogieloves in the Big Balloon Adventure,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
By the Sea,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steamboy,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
The Game of Their Lives,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Good Things,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Rapa Nui,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ7,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
The Visitors II: The Corridors of Time,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dylan Dog: Dead of Night,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
People I Know,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Tempest,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Regression,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Three Kingdoms: Resurrection of the Dragon,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Butterfly on a Wheel,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambezia,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Ramanujan,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dwegons,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hands of Stone,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Survivor,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Frozen Ground,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Painted Veil,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Baader Meinhof Complex,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Dances with Wolves,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bad Teacher,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea of Love,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
A Cinderella Story,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scream,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Thir13en Ghosts,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Shining,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Back to the Future,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
House on Haunted Hill,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
I Can Do Bad All By Myself,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fight Valley,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Switch,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Just Married,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Devil's Double,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Thomas and the Magic Railroad,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
The Crazies,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Spirited Away,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Firestorm,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bounty,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Book Thief,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sex Drive,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leap Year,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Fall of the Roman Empire,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Take Me Home Tonight,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Won't Back Down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Nutcracker,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Kansas City,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Indignation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Amityville Horror,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Adaptation.,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Land of the Dead,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Out of Inferno,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fear and Loathing in Las Vegas,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Invention of Lying,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Neighbors,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mask,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Big,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legally Blonde,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Trek III: The Search for Spock,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Exorcism of Emily Rose,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Deuce Bigalow: Male Gigolo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Left Behind,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Family Stone,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbershop 2:  Back in Business,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bad Santa,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Powers: International Man of Mystery,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
My Big Fat Greek Wedding 2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Diary of a Wimpy Kid: Rodrick Rules,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Predator,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amadeus,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Prom Night,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Mean Girls,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under the Tuscan Sun,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gosford Park,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Peggy Sue Got Married,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Birdman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Jasmine,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United 93,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Honey,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Spy Hard,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Fog,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Soul Surfer,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catch-22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Observe and Report,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Conan the Destroyer,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Raging Bull,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love Happens,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Young Sherlock Holmes,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Fame,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
127 Hours,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Time Crooks,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Center Stage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Love the Coopers,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Catch That Kid,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Life as a House,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"I Love You, Beth Cooper",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youth in Revolt,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Legend of the Lone Ranger,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Tailor of Panama,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blow Out,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Getaway,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ice Storm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
And So It Goes,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troop Beverly Hills,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Being Julia,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nine 1/2 Weeks,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragonslayer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Last Station,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Wood,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Labor Day,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongol: The Rise of Genghis Khan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RockNRolla,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Megaforce,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hamlet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mao's Last Dancer,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midnight Special,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Anything Else,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Railway Man,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The White Ribbon,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Restoration,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Wraith,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Salton Sea,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Metallica: Through the Never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Informers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
I Come with the Rain,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Man's Hero,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Day of the Dead,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
I Am Wrath,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Renaissance,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Red Sonja,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Red Lights,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Superbad,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madea Goes to Jail,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolves,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Step Up 2: The Streets,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hoodwinked!,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Hotel Rwanda,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Hitman,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Nativity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Prince,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Ghosts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Others,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Aliens,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
My Fair Lady,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
I Know What You Did Last Summer,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Let's Be Cops,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sideways,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beerfest,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halloween,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Good Boy!,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Best Man Holiday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smokin' Aces,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saw: The Final Chapter,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
40 Days and 40 Nights,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Night at the Roxbury,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beastly,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Hills Have Eyes,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dickie Roberts: Former Child Star,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McFarland, USA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lottery Ticket,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitch Perfect,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Summer Catch,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Simple Plan,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
They,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Larry the Cable Guy: Health Inspector,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Adventures of Elmo in Grouchland,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brooklyn's Finest,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55 Days at Peking,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Evil Dead,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My Life in Ruins,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Dreamz,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Superman IV: The Quest for Peace,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
How She Move,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Running Scared,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Jones: Stroke of Genius,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shanghai Surprise,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Illusionist,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Roar,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veronica Guerin,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Escobar: Paradise Lost,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southland Tales,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dragon Hunters,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Damnation Alley,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Apparition,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My Girl,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fur: An Imaginary Portrait of Diane Arbus,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wall Street,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sense and Sensibility,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Becoming Jane,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sydney White,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
House of Sand and Fog,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Poets Society,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumb and Dumber,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When Harry Met Sally...,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Verdict,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Road Trip,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varsity Blues,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Artist,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Unborn,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Moonrise Kingdom,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Texas Chainsaw Massacre: The Beginning,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Young Messiah,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Master of Disguise,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pan's Labyrinth,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
See Spot Run,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Baby Boy,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Roommate,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
